,Hotel_Names,Address,City,Ratings,Votes,Prices,Features
0,Flagship Malkajgiri,Malkajgiri,['Hyderabad'],['4.3'],['2269'],₹699, Parking facility  Reception  Free Wifi  
1,OYO Flagship Hotel Lavish Stay,New Santoshnagar,['Hyderabad'],['4.3'],['23'],₹582, Free Wifi  Geyser  Power backup  
2,OYO Flagship Hotel Shazeb International,Telangana,['Hyderabad'],['3.7'],['17'],₹699, Elevator  Free Wifi  Geyser  
3,Collection O Hotel Rbs Kothapet-nagole Road,,['Hyderabad'],['5.0'],['7'],₹699, Elevator  Free Wifi  Geyser  
4,OYO Flagship 80983G RBS Square Langer Houz,Hyderabad,"['Hyderabad', 'Hyderabad']",['3.9'],['98'],₹699, Free Wifi  Geyser  Power backup  
5,SPOT ON Apsara Hotel,#5-4-467 opp Revenue board  Nampally Station Road,['Hyderabad'],['4.1'],['51'],₹719, Elevator  Free Wifi  Geyser  
6,OYO Flagship 80484G Hotel Srinivasa Grand ,Abids South,['Hyderabad'],['3.4'],['32'],₹649, Elevator  Geyser  Power backup  
7,Super OYO Flagship 81498 New Shiridi Crystal,Hyderabad,"['Hyderabad', 'Hyderabad']",['3.0'],['33'],₹699, Free Wifi  Geyser  Power backup  
8,Collection O Hotel V Square ,"Near Nampally Metro Station, Abids South",['Hyderabad'],['2.8'],['111'],₹699, Elevator  Reception  Free Wifi  
9,SPOT ON Mohit Gokul Lodge New Room's Near Snow World,Near To Secunderbad East Metro Rail Station,['Hyderabad'],['3.4'],['770'],₹469, Parking facility  Reception  Free Wifi  
10,OYO Flagship Raga Stays Mee Seva Road,Chaitanyapuri,['Hyderabad'],['3.7'],['114'],₹710, Geyser  Power backup  AC  
11,Capital O Hotel Samrat Palace Near Nampally Station,Abids,['Hyderabad'],['2.8'],['175'],₹627, Reception  Free Wifi  Caretaker  
12,OYO Hotel Hyderabad Continental,"Near Tarakarama Theatre, Sultan Bazar",['Hyderabad'],['4.2'],['1466'],₹861, TV  King Sized Bed  Free Wifi  
13,Flagship Royal Galaxy Lodge Near Charminar,,['Hyderabad'],['3.5'],['55'],₹699, AC  TV 
14,Collection O High Way Grand Luxury Rooms ,Chandrapuri Colony,['Hyderabad'],['5.0'],['1'],₹1001, Elevator  Free Wifi  Geyser  
15,Collection O Hotel Virat Grand,Vivekananda Colony,['Hyderabad'],['4.4'],['28'],₹1422, Elevator  Free Wifi  Geyser  
16,OYO Flagship Hanuma Resdiceny,plot no 1-212 Malkajgiri Road . Geeta Nagar Hyderabad,['Hyderabad'],['3.2'],['14'],₹699, Elevator  Free Wifi  Geyser  
17,Collection O Hotel Pnr International Mehdipatnam,Hyderabad,"['Hyderabad', 'Hyderabad']",['4.5'],['269'],₹1051, Elevator  Free Wifi  Geyser  
18,Super OYO Hotel Holiday Rani Gunj Opp Punjab national bank,"M.G Road, Near Rani Gunj X road, Opp. Punjab National Bank, Secunderabad",['Hyderabad'],['4.3'],['1360'],₹1039, Reception  Free Wifi  Power backup  
19,OYO Hanuma Residency Near victoria Memorial metro station,Behind OZONE Hospital,[],['4.5'],['1035'],₹898, Hair Dryer  Parking facility  Reception  
20,Capital O The City Park Near Nampally Railway station,"Near The City Park, Chirag AlicLane",['Hyderabad'],['3.1'],['926'],₹963, Reception  Free Wifi  Power backup  
21,SPOT ON Hotel Rk Residency Near MGBS Bus station,"Near Jaam Bagh, Hindustani Lane",['Hyderabad'],['3.4'],['391'],₹460, AC  TV  AC  
22,"OYO Townhouse 710 Hotel Regal Near ISKON TEMPLE , ABIDS","Nampally station road, Adj Lane Metro Foot Wear, Opp. Iskcon Temple, Abids,  Hyderabad, Telangana, 500001",['Hyderabad'],['3.0'],['511'],₹1087, Parking facility  Elevator  Free Wifi  
23,OYO Hotel Srujana Stay Inn Opp Public Gardens Nampally,Nampally,['Hyderabad'],['3.9'],['879'],₹1096, Elevator  Free Wifi  Geyser  
24,Super OYO Collection O RCC Pristine,Ameerpet,['Hyderabad'],['4.6'],['1740'],₹1617, Parking facility  Reception  Free Wifi  
25,park 9,Punjagutta,['Hyderabad'],['1.9'],['75'],₹699, Free Wifi  Geyser  Power backup  
26,OYO Nav Bharath Residency Near Koti Center,"Near Central Gurudwara Saheb, Gowliguda",['Hyderabad'],['4.3'],['1010'],₹1035, Reception  Free Wifi  Power backup  
27,OYO Hotel Aroma Classic Near Nampally Railway station,15-1-309 Feelkhana Near Acharaya Bhavan Baba Ramdav Mandir Bagum Bazar Hyderabad,"['Hyderabad', 'Hyderabad']",['4.0'],['607'],₹720, Reception  Public washroom  Free Wifi  
28,Capital O Hotel Vaishnavi,"Near Csi Wesley Church, Paras Towers",['Hyderabad'],['4.3'],['931'],₹1450, Reception  Free Wifi  24/7 check-in  
29,OYO Home Royal Stay,"Near Mynteramall, Ashoke Vihar 2 Colony",['Hyderabad'],['0.0'],['0'],₹576, Parking facility  Free Wifi  Power backup  
30,Super OYO Collection O 15141 Townvilla Guest House,Hyderabad,"['Hyderabad', 'Hyderabad']",['4.8'],['1444'],₹1615, 24x7 Facility Manager  Free Wifi  Geyser  
31,OYO Flagship Royal Stay Homes Near Asian Mall Attapur,"Attapur,Hyderabad",['Hyderabad'],['4.8'],['184'],₹910, AC  TV 
32,OYO Flagship HRR Hotels Near Paradise circle,Secunderabad-500003,['Hyderabad'],['2.7'],['126'],₹861, Elevator  Geyser  Power backup  
33,Super OYO Capital O 11079 Hotel Prestige,"Paradise ,Secunderabad",[],['4.6'],['3416'],₹1597, Parking facility  Elevator  Free Wifi  
34,Super OYO Capital O Alpine Glow Pinnacle,"Near Veg Market, Bowenpally",['Hyderabad'],['4.5'],['2517'],₹1262, Reception  Power backup  Refrigerator  
35,OYO Hotel Palak Residency Near Erragadda Metro Station,"Metro Pillar no: A947, 2nd Floor, Beside Erragadda Metro Station, Above Bajaj Showroom",['Hyderabad'],['3.9'],['1057'],₹1257, Elevator  Free Wifi  Geyser  
36,Collection O Relax Inn,Jogani,['Hyderabad'],['3.5'],['43'],₹1271, Elevator  Free Wifi  Geyser  
37,Capital O Alpine Glow Sunrise Near Hyderabad Public School,"Near RBI Quarters, Begumpet",['Hyderabad'],['4.4'],['834'],₹1158, Elevator  Free Wifi  Geyser  
38,OYO Home Pramod Prime Homes Near More super market,Nagole,['Hyderabad'],['4.2'],['1255'],₹1228, Free Wifi  TV  AC 
39,OYO Flagship 811357 Hotel R Square Inn,,['Hyderabad'],['4.0'],['100'],₹1071, Elevator  Free Wifi  Geyser  
40,Super OYO Townhouse 265 RCC Elite,Opp To J S Babu Silks,['Hyderabad'],['4.6'],['2454'],₹1755, Reception  Caretaker  Power backup  
41,OYO Flagship Ramoji Kothapet Near Miraj Cinemas - Shalini Shivani,Kothapet,['Hyderabad'],['3.9'],['802'],₹859, Private entrance  Reception  Free Wifi  
42,OYO 16428 Hotel Vaishnavi Inn,Secunderabad,['Hyderabad'],['4.2'],['1651'],₹1334, Free Wifi  Power backup  Card payment  
43,Flagship Relax Grand Near Snow World,Secunderabad Mandal,['Hyderabad'],['4.5'],['601'],₹1066, Reception  Free Wifi  Caretaker  
44,Super OYO Townhouse OAK Hotel N7 Elite,Champapet,['Hyderabad'],['4.5'],['1322'],₹2663, Reception  24x7 Facility Manager  Free Wifi  
45,OYO Townhouse 113 The Shubham Dilsukhnaga Near Miraj Cinemas - Shalini Shivani,Kothapet,['Hyderabad'],['3.3'],['675'],₹1280, Free Wifi  AC  TV 
46,Collection O Hotel Sai Krupa,Kachiguda station road ,['Hyderabad'],['3.6'],['129'],₹1275, Free Wifi  Geyser  Power backup  
47,OYO 40852 Hotel White Ridge,"Near Dilsukhnagar metro station, Krishna Nagar.",['Hyderabad'],['4.2'],['1378'],₹1149, Queen Sized Bed 
48,OYO Townhouse 81794 BANJARAHILLS NEARÂ GVKÂ MALL,Masab Tank,['Hyderabad'],['3.7'],['715'],₹1322, Modern wardrobe  Modern wardrobe  AC  
49,Super OYO Townhouse RCC Majestic 397 LB Nagar,Champapet,['Hyderabad'],['5.0'],['2902'],₹2331, Parking facility  Free Wifi  AC  
50,OYO Flagship Hotel R Square Grand,Beside Darbar barnull,['Hyderabad'],['3.5'],['10'],₹1246, Elevator  Free Wifi  Geyser  
51,OYO Flagship Hotel Elite Stay Near Habsiguda Metro Station,Secunderabad,['Hyderabad'],['4.0'],['608'],₹1154, Geyser  Power backup  AC  
52,Super OYO Flagship Langar Houz Near Golconda Fort,Bapu Nagar,['Hyderabad'],['4.5'],['904'],₹1154, Free Wifi  Geyser  Power backup  
53,OYO R Square Stay Near LB Nagar Metro,LB Nagar Metro Station,[],['3.6'],['222'],₹1019, Reception  Free Wifi  Caretaker  
54,Super OYO Townhouse 164 ESI Hospital Near Hyderabad Central,Sanath Nagar,['Hyderabad'],['4.7'],['3377'],₹1881, Private entrance  Reception  Free Wifi  
55,Townhouse White Ridge 112 Shivam Road,New Nallakunta,['Hyderabad'],['4.2'],['1412'],₹1841, Parking facility  Reception  Free Wifi  
56,Super OYO Collection O Hotel Lotus Grand Near Secunderabad Railway Station,Secunderabad,['Hyderabad'],['4.0'],['2684'],₹1591, Parking facility  Free Wifi  Power backup  
57,OYO Flagship Hotel Vaishnavi Palace,"#2-4-133 Beside KFC, Mahatma Gandhi Rd, Secunderabad, Telangana",['Hyderabad'],['4.1'],['872'],₹1244, Parking facility  Reception  Free Wifi  
58,Collection O 5072 Padmini Inn,"Near S.D Road, Clocktower",['Hyderabad'],['5.0'],['2'],₹1356, AC  TV 
59,SPOT ON Pnd Complex,R C I Rd,['Hyderabad'],['4.0'],['334'],₹859, Hair Dryer  Reception  Daily housekeeping  
60,OYO Flagship Hotel Shazeb International,Telangana,['Hyderabad'],['3.7'],['17'],₹699, Elevator  Free Wifi  Geyser  
61,SPOT ON Gokul Lodge Near Snow World,India Hyderabad Telanganaindia,"['Hyderabad', 'Hyderabad']",['2.8'],['44'],₹511, Reception  Geyser  Power backup  
62,OYO Flagship 80983G RBS Square Langer Houz,Hyderabad,"['Hyderabad', 'Hyderabad']",['3.9'],['98'],₹699, Free Wifi  Geyser  Power backup  
63,Super OYO Flagship 81498 New Shiridi Crystal,Hyderabad,"['Hyderabad', 'Hyderabad']",['3.0'],['33'],₹699, Free Wifi  Geyser  Power backup  
64,OYO Flagship Sv Hotel,SUNCITY,['Hyderabad'],['4.5'],['31'],₹576, Elevator  Free Wifi  Geyser  
65,Collection O Hotel V Square ,"Near Nampally Metro Station, Abids South",['Hyderabad'],['2.8'],['111'],₹699, Elevator  Reception  Free Wifi  
66,OYO Flagship Hotel Prince Residency Luxury Rooms,near yashoda hospital  Raj Bhavan Road,['Hyderabad'],['3.0'],['22'],₹576, Elevator  Free Wifi  Geyser  
67,OYO Flagship New Vasista Residency,RTC Colony,['Hyderabad'],['4.4'],['10'],₹744, Free Wifi  Geyser  Power backup  
68,OYO Astar Hotel Inn Near Birla Mandir,Raj Bhavan Quarters Colony,['Hyderabad'],['2.1'],['5'],₹576, Free Wifi  Geyser  Power backup  
69,SPOT ON Al Nizam Guest House Near Charminar,Nayapul,['Hyderabad'],['3.6'],['43'],₹511, Elevator  Free Wifi  Geyser  
70,SPOT ON Mohit Gokul Lodge New Room's Near Snow World,Near To Secunderbad East Metro Rail Station,['Hyderabad'],['3.4'],['770'],₹469, Parking facility  Reception  Free Wifi  
71,OYO Flagship New Sabharwal,Telangana 500001,['Hyderabad'],['3.2'],['50'],₹699, Elevator  Free Wifi  Geyser  
72,OYO Imperial Guest House near Hyderabad Central,"Near Yashoda Hospital, Somajiguda",['Hyderabad'],['3.5'],['164'],₹581, Parking facility  Reception  Free Wifi  
73,SPOT ON New Kaveri Lodge,HYDERABAD - 500074 TS RTC Colony,['Hyderabad'],['3.1'],['39'],₹511, Free Wifi  Geyser  Power backup  
74,SPOT ON Hotel Sai Manikanta palace,Hyderabad,"['Hyderabad', 'Hyderabad']",['3.2'],['92'],₹635, Elevator  Free Wifi  Geyser  
75,POP Padma Lodge Near Hyderabad Central,Panjagutta X Road,['Hyderabad'],['3.0'],['44'],₹511, Free Wifi  Geyser  Power backup  
76,OYO Hotel Hyderabad Continental,"Near Tarakarama Theatre, Sultan Bazar",['Hyderabad'],['4.2'],['1466'],₹861, TV  King Sized Bed  Free Wifi  
77,SPOT ON Pioneer Lodge By Wb Inn,Secunderabad,['Hyderabad'],['3.8'],['5'],₹744, Elevator  Free Wifi  Geyser  
78,OYO Flagship New Shiridi Crystal Near Birla Mandir,Hyderabad Basheer Bhag,"['Hyderabad', 'Hyderabad']",['5.0'],['52'],₹576, Elevator  Geyser  Power backup  
79,OYO Flagship Sri Residency Near Hyderabad Central,Ameerpet,['Hyderabad'],['4.0'],['799'],₹1117, Reception  Power backup  Security  
80,Super OYO Townhouse 269 RCC Sunrise,"Near Begumpet lifestyle, Kundanbagh Colony",['Hyderabad'],['4.5'],['1402'],₹2209, Private entrance  Parking facility  Reception  
81,Super OYO Townhouse 1033 Ameerpet,Ameerpet Mandal,['Hyderabad'],['4.6'],['2491'],₹2498, Reception  Power backup  Security  
82,Hotel NEW SHYAM near Paradise circle,Secunderabad Mandal,['Hyderabad'],['3.2'],['194'],₹955, Elevator  Reception  Free Wifi  
83,Townhouse 1250 Rcc Premier Sr Nagar,SR NAGAR,['Hyderabad'],['4.9'],['102'],₹1841, AC  TV 
84,Townhouse 1065 Hotel S Continental Near Birla Mandir,Nampally Mandal,['Hyderabad'],['3.6'],['491'],₹1588, Parking facility  Reception  Caretaker  
85,OYO Flagship The Metro International Hotel,Nayapul,['Hyderabad'],['4.0'],['62'],₹1432, AC  TV 
86,OYO Flagship Hotel Ragas Inn,Rajendra Nagar,['Hyderabad'],['4.0'],['14'],₹1401, Elevator  Free Wifi  Geyser  
87,Capital O Jubilee Banjara Suites Near City Center Mall,"Near American Hospital, Banjarahills",['Hyderabad'],['3.5'],['488'],₹1303, Free Wifi  AC  AC  
88,Super OYO Flagship Sai Mansion,Maruthi Nagar,['Hyderabad'],['4.0'],['317'],₹984, Geyser  Power backup  AC  
89,Collection O 45408 Hotel Ambassador,"Near Navodaya Hospital, SD Road",['Hyderabad'],['4.1'],['5'],₹1312, Reception  Free Wifi  Power backup  
90,OYO Flagship 84238 Hotel Ragas Elite,Rangareddynull,['Hyderabad'],['3.3'],['36'],₹1071, Elevator  Reception  Free Wifi  
91,OYO Sai Residency Near SR Nagar metro station,"Near Sr nagar metro station, Jawahar Nagar",['Hyderabad'],['3.1'],['336'],₹1334, Reception  Free Wifi  Geyser  
92,Capital O Hotel Alekhya Residency,"Near Global Hospital, Saifabad",['Hyderabad'],['4.0'],['451'],₹1597, Free Wifi  Power backup  CCTV cameras  
93,OYO Hotel Aadaab Near Gandhi Bhavan,"Near Nampally railway station, Mahesh Nagar",['Hyderabad'],['3.1'],['62'],₹867, Reception  Free Wifi  24/7 check-in  
94,OYO Vasundhara Guest House Near Tankbund,Near Bombay Hotel,['Hyderabad'],['3.1'],['571'],₹953, Reception  Free Wifi  Power backup  
95,SPOT ON Hotel Sai Ashirwad Residency,punjagutta,['Hyderabad'],[],[],₹1071, Free Wifi  Geyser  Power backup  
96,OYO Flagship New Hotel Aroma Classic,Hyderabad 500001,"['Hyderabad', 'Hyderabad']",['3.0'],['4'],₹1062, Elevator  Free Wifi  Geyser  
97,OYO Flagship Hotel R Square,Dilsukhnagarnull,['Hyderabad'],['4.0'],['214'],₹1257, Free Wifi  Geyser  Power backup  
98,OYO Hotel Shannu Residency,"Near Apollo Pharmacy, Secunderabad",['Hyderabad'],['4.1'],['892'],₹1074, Free Wifi  Geyser  TV 
99,Townhouse 1188 Xanthe Hotels,"Ward 98, Sai Baba Temple Road, Sr Nagar, Ward 98 Ameerpet, Greater Hyderabad Municipal Corporation Central Zone",['Hyderabad'],['3.4'],['136'],₹1484, Elevator  Free Wifi  Geyser  
100,Home Shiva Shakthi Inn Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,J P Nagar,['Bangalore'],['4.3'],['854'],₹581, Private entrance  Parking facility  Elevator  
101,SPOT ON Srinivasa Boarding And Lodging Near Vijayanagar Metro Station,"Near N R Colony, Sajjepalya",['Bangalore'],['3.2'],['402'],₹399, TV 
102,Flagship S M Residency Near Mysore Road Metro Station,Nagarbhavi,['Bangalore'],['3.4'],['323'],₹572, Free Wifi  Geyser  Power backup  
103,OYO Flagship 814835 MANYATA INN SERVICE APARTMENT,Karnataka ,['Bangalore'],['3.9'],['34'],₹576, Free Wifi  Geyser  Power backup  
104,SPOT ON Balaji Residency near Yeshwantupur Railway Station,L N Colony,['Bangalore'],['3.4'],['314'],₹460, AC  TV  Queen Sized Bed  
105,Collection O 81138 Emara Galaxy Executive Rooms,Karnataka,['Bangalore'],['4.1'],['126'],₹822, Elevator  Reception  Free Wifi  
106,Super OYO Townhouse 1225 Chethana Inn,560013,['Bangalore'],['4.2'],['1292'],₹1112, Free Wifi  TV  AC 
107,OYO Hotel Golden Inn Near Cubbon Park,"Centrally Located, Near HKP Road, Shivaji Nagar",['Bangalore'],['3.5'],['601'],₹1194, Parking facility  Elevator  Free Wifi  
108,Royal Bliss International,"Near Brand Factory, Bilekahalli",['Bangalore'],['3.6'],['473'],₹807, Free Wifi  Geyser  Power backup  
109,SPOT ON Vasavi Residency,Bangalor,['Bangalore'],['3.5'],['47'],₹811, Free Wifi  Geyser  Power backup  
110,OYO Flagship Sunder Nivas,Yeshwantpur,['Bangalore'],['3.9'],['143'],₹822, Free Wifi  Geyser  Power backup  
111,SPOT ON Sri Nataraja Lodge ,Ramachandrapuram Main road near Sujata theatre opp lulu mall,['Bangalore'],['3.1'],['6'],₹599, Elevator  Free Wifi  Geyser  
112,SPOT ON Hotel Shreyas,Prem Nagar,['Bangalore'],['4.6'],['7'],₹599, Parking facility  Reception  Free Wifi  
113,Collection O Hotel Tiara Near Christ university,Tavarekere Main Rd,['Bangalore'],['3.7'],['663'],₹1222, Parking facility  Elevator  Free Wifi  
114,OYO Hotel Townhall,"Near Dhanlakshmi Bank, JC Road",['Bangalore'],['4.0'],['1079'],₹956, Free Wifi  Geyser  Power backup  
115,SPOT ON RR Complex,Nandini Layout,['Bangalore'],['3.3'],['57'],₹511, Parking facility  Reception  Free Wifi  
116,Collection O 88646 SRI SAPTHAGIRI,Bangalore Urban,"['Bangalore', 'Bangalore']",['3.3'],['76'],₹911, Elevator  Free Wifi  Geyser  
117,Collection O G Silver Polonest,Bengaluru,['Bangalore'],['5.0'],['10'],₹1510, Elevator  Free Wifi  Geyser  
118,Collection O Royal Elevar,Dasarahalli,['Bangalore'],['4.3'],['779'],₹986, Elevator  Free Wifi  Geyser  
119,Flagship Sree Nandanam Residency,Bengaluru,['Bangalore'],['3.3'],['43'],₹576, Reception  Geyser  Caretaker  
120,OYO Exotic Stay Bg Road,Bangalore Urban,"['Bangalore', 'Bangalore']",['3.3'],['251'],₹699, Elevator  Free Wifi  Geyser  
121,Capital O Green Residency,Near Summanahalli Bus Stop,['Bangalore'],['3.4'],['208'],₹814, Reception  Free Wifi  Power backup  
122,OYO Flagship Hotel Sunil Residency,"West Of Chord Road, Shivanagar",['Bangalore'],['4.3'],['12'],₹1137, Parking facility  Elevator  Free Wifi  
123,SPOT ON Yatra Inn Near Lalbagh Botanical Garden,Lalbagh,['Bangalore'],['5.0'],['2672'],₹1044, TV  Free Wifi  Geyser  
